Concept(EN)	ConceptClass	Concept(IT)	SubjectCode	No.Concept	No.Phrase	Feature	RelationType	Phrase
hand	bodypart	mano	s74	1		1	a_body_part	ch	parte_del_corpo
hand	bodypart	mano	s74	1		2	has_a_wrist	ece	composta_da_un_polso
hand	bodypart	mano	s74	1		3	has_5_fingers	ece	composta_da_5_dita
hand	bodypart	mano	s74	1		4	used_for_grasping	sf	serve_a_impugnare_oggetti
hand	bodypart	mano	s74	1		5	used_for_doing	sf	serve_a_compiere_azioni
woodpecker	bird	picchio	s74	2		1	a_bird	ch	uccello
woodpecker	bird	picchio	s74	2		2	has_coloured_feathers	ece	ha_piumaggio_colorato
woodpecker	bird	picchio	s74	2		3	is_small	ese	è_di_piccole_dimensioni
woodpecker	bird	picchio	s74	2		4	beh_-_hits_against_trees_with_beak	eb	ha_l'abitudine_di_colpire_il_tronco_degli_alberi_per_utilizzare_buco_come_tana
orange	fruit	arancia	s74	3		1	a_citrus	ch	agrume
orange	fruit	arancia	s74	3		2	tastes_sweet_sour	esi	dal_sapore_agro-dolce
orange	fruit	arancia	s74	3		3	is_orange	ese	ha_un_colore_arancione
orange	fruit	arancia	s74	3		4	imported_by_Arabs	sor	importata_dagli_Arabi
orange	fruit	arancia	s74	3		5	has_vitamin_C	eci	contiene_vitamina_C
bus	vehicle	autobus	s74	4		1	a_vehicle	ch	mezzo
bus	vehicle	autobus	s74	4		2	used_for_transportation	sf	di_trasporto
bus	vehicle	autobus	s74	4		3	found_in_cities	sl	urbano
bus	vehicle	autobus	s74	4		4	has_wheels	ece	viagga_su_ruote
bus	vehicle	autobus	s74	4		5	requires_drivers	ic	guidato_da_un_autista_specializzato
bus	vehicle	autobus	s74	4		6	follows_a_route	sf	ferma_in_precisi_punti_del_suo_tracciato
corn	vegetable	mais	s74	5		1	comes_from_Central_America	sor	importato_dall'America_centrale
corn	vegetable	mais	s74	5		2	a_grain	ch	granaglia
corn	vegetable	mais	s74	5		3	tastes_sweet	esi	sapore_dolce
corn	vegetable	mais	s74	5		4	is_small	ese	ridotte_dimensioni
bed	furniture	letto	s74	6		1	furniture	ch	pezzo_di_arredamento
bed	furniture	letto	s74	6		2	used_for_resting	sf	addetto_al_riposo
bed	furniture	letto	s74	6		3	has_a_mattress	ece	composto_da_un_materasso
bed	furniture	letto	s74	6		4	has_pillows	se	composto_da_un_cuscino
bed	furniture	letto	s74	6		5	has_sheets	se	composto_da_un_lenzuolo
bed	furniture	letto	s74	6		6	different_sizes	ese	grande_a_seconda_di_chi_deve_occuparlo
bed	furniture	letto	s74	6		7	eg_-_double_bed	cl	matrimoniale
bed	furniture	letto	s74	6		8	eg_-_bunk_bed	cl	a_castello
rabbit	mammal	coniglio	s74	7		1	a_rodent	ch	roditore
rabbit	mammal	coniglio	s74	7		2	a_mammal	ch	mammifero
rabbit	mammal	coniglio	s74	7		3	beh_-_produces_large_offspring	eb	molto_prolifico
rabbit	mammal	coniglio	s74	7		4	beh_-_eats_vegetables	eb	si_nutre_di_ortaggi
rabbit	mammal	coniglio	s74	7		5	is_fast	iep	è_agile
peas	vegetable	piselli	s74	8		1	a_legume	ch	legumi
peas	vegetable	piselli	s74	8		2	is_green	ese	di_colore_verde_chiaro
peas	vegetable	piselli	s74	8		3	is_small	ese	di_dimensioni_ridotte
peas	vegetable	piselli	s74	8		4	grows_in_gardens	sl	crescono_nell'orto
peas	vegetable	piselli	s74	8		5	associated_with_Mendel	eae	li_usò_Mendel
closet	furniture	armadio	s74	9		1	furniture	ch	pezzo_d'arredamento
closet	furniture	armadio	s74	9		2	made_of_wood	em	è_di_legno
closet	furniture	armadio	s74	9		3	used_for_storing	sf	serve_a_contenere_oggetti_ingombranti
closet	furniture	armadio	s74	9		4	different_sizes	ese	di_diverse_dimensioni
ship	vehicle	nave	s74	10		1	a_vehicle	ch	mezzo
ship	vehicle	nave	s74	10		2	used_for_transportation	sf	di_trasporto
ship	vehicle	nave	s74	10		3	used_for_navigation	sf	viaggia_sull'acqua
ship	vehicle	nave	s74	10		4	different_functions	sf	adibita_a_diverse_funzioni
ship	vehicle	nave	s74	10		5	requires_pilots	ic	pilotata_da_un_uomo
dog	mammal	cane	s74	11		1	an_animal	ch	animale
dog	mammal	cane	s74	11		2	used_for_company	eae	da_compagnia
dog	mammal	cane	s74	11		3	eaten_by_Chinese	sp	i_cinesi_lo_mangiano
dog	mammal	cane	s74	11		4	is_agressive	iep	di_indole_aggressiva
dog	mammal	cane	s74	11		5	beh_-_bites	eb	morde
dog	mammal	cane	s74	11		6	beh_-_drools	eb	sbava
dog	mammal	cane	s74	11		7	smells_bad	ie	puzza
horse	mammal	cavallo	s74	12		1	an_animal	ch	animale
horse	mammal	cavallo	s74	12		2	used_for_pulling	sf	da_traino
horse	mammal	cavallo	s74	12		3	is_fast	iep	raggiunge_velocità_notevoli
horse	mammal	cavallo	s74	12		4	used_in_the_ancient_times	st	usato_fin_dall'antichità
horse	mammal	cavallo	s74	12		5	is_large	ese	di_notevoli_dimensioni
tongs	implement	pinze	s74	13		1	a_tool	ch	strumento
tongs	implement	pinze	s74	13		2	used_for_working	sf	da_lavoro
tongs	implement	pinze	s74	13		3	used_for_cutting_cables	sf	serve_a_tagliare_cavi
tongs	implement	pinze	s74	13		4	used_for_cutting_cables	sf	serve_a_tagliare_fili
tongs	implement	pinze	s74	13		5	different_sizes	ese	variano_in_grandezza
skyscraper	building	grattacielo	s74	14		1	a_dwelling	ch	abitazione
skyscraper	building	grattacielo	s74	14		2	is_tall	ese	molto_alto
skyscraper	building	grattacielo	s74	14		3	used_for_housing_people	sf	occupato_da_appartamenti
skyscraper	building	grattacielo	s74	14		4	used_for_offices	se	occupato_da_uffici
skyscraper	building	grattacielo	s74	14		5	found_in_modern_cities	sl	tipico_delle_città_moderne
eye	bodypart	occhio	s74	15		1	a_body_part	ch	parte_del_corpo_umano
eye	bodypart	occhio	s74	15		2	used_for_seeing	sf	serve_a_vedere
eye	bodypart	occhio	s74	15		3	has_an_iris	ece	composto_da_iride
eye	bodypart	occhio	s74	15		4	has_a_pupil	ece	composto_da_pupilla
eye	bodypart	occhio	s74	15		5	different_colours	ese	di_diversi_colori
truck	vehicle	camion	s74	16		1	a_vehicle	ch	mezzo
truck	vehicle	camion	s74	16		2	used_for_transportation	sf	di_trasporto
truck	vehicle	camion	s74	16		3	used_for_cargo	se	adibito_a_trasporto_merci
truck	vehicle	camion	s74	16		4	different_sizes	ese	di_dimensioni_variabili
truck	vehicle	camion	s74	16		5	has_4_wheels	ece	viaggia_su_4_ruote
finger	bodypart	dito	s74	17		1	part_of_hand	ew	parte_della_mano
finger	bodypart	dito	s74	17		2	grows	sf	cresce_con_l'età
apple	fruit	mela	s74	18		1	a_fruit	ch	frutto
apple	fruit	mela	s74	18		2	grows_in_fall	st	autunnale
apple	fruit	mela	s74	18		3	different_colours	ese	di_diversi_colori
apple	fruit	mela	s74	18		4	tastes_sweet	esi	ha_un_sapore_dolce
tower	building	torre	s74	19		1	a_construction	ch	costruzione
tower	building	torre	s74	19		2	is_cylindrical	ese	ha_una_forma_a_cilindro
tower	building	torre	s74	19		3	made_of_brick	em	costruita_in_muratura
